"transaction_year","transaction_month","category","unique_customers","total_revenue","total_cost","total_marketing_cost","total_marketing_events","revenue_to_cost_ratio"
2022,1,Category_1,4,3116,1290,705,12,2.42
2022,1,Category_2,2,1778,852,705,12,2.09
2022,2,Category_1,3,1652,441,537,10,3.75
2022,2,Category_2,3,1502,1019,537,10,1.47
2022,3,Category_1,6,3612,1787,665,12,2.02
2022,4,Category_1,3,1775,1249,676,13,1.42
2022,4,Category_2,1,798,87,676,13,9.17
2022,5,Category_1,5,4223,1732,570,11,2.44
2022,5,Category_2,1,575,423,570,11,1.36
2022,6,Category_1,8,6149,2671,360,8,2.30
2022,6,Category_2,1,602,398,360,8,1.51
2022,7,Category_1,4,2933,795,780,15,3.69
2022,7,Category_2,3,1825,1036,780,15,1.76
2022,8,Category_1,4,3638,2229,1026,15,1.63
2022,8,Category_2,4,1846,1283,1026,15,1.44
2022,9,Category_1,8,5089,3604,922,13,1.41
2022,9,Category_2,1,666,491,922,13,1.36
2022,10,Category_1,2,1340,530,304,6,2.53
2022,10,Category_2,3,1346,568,304,6,2.37
2022,11,Category_1,4,1932,1855,575,12,1.04
2022,11,Category_2,5,1870,1532,575,12,1.22
2022,12,Category_1,5,4001,2385,891,19,1.68
2022,12,Category_2,3,2229,629,891,19,3.54
2023,1,Category_1,3,2391,1951,941,19,1.23
2023,1,Category_2,1,971,162,941,19,5.99
2023,2,Category_1,4,3747,1262,401,9,2.97
2023,2,Category_2,3,1773,667,401,9,2.66
2023,3,Category_1,5,3743,1698,786,13,2.20
2023,3,Category_2,1,266,130,786,13,2.05
2023,4,Category_1,4,4458,2088,748,13,2.14
2023,5,Category_1,7,3341,2356,720,15,1.42
2023,5,Category_2,1,957,257,720,15,3.72
2023,6,Category_1,7,5632,3526,500,10,1.60
2023,6,Category_2,2,1062,356,500,10,2.98
2023,7,Category_1,4,1820,798,603,10,2.28
2023,7,Category_2,4,2377,1150,603,10,2.07
2023,8,Category_1,6,4879,2297,612,14,2.12
2023,9,Category_1,6,4586,2360,539,13,1.94
2023,9,Category_2,2,1024,931,539,13,1.10
2023,10,Category_1,5,3079,1327,694,15,2.32
2023,10,Category_2,2,1493,685,694,15,2.18
2023,11,Category_1,7,5902,1953,580,10,3.02
2023,12,Category_1,5,3898,2186,641,13,1.78
